Informations de la variable,,,,,,,,,
Variable,Position,Etiquette,Niveau de mesure,Rôle,Largeur des colonnes,Alignement,Format d'impression,Format d'écriture,Valeurs manquantes
PrjName,1,ProjectName,Nominale,Entrée,8,Gauche,A1530,A1530,
RecordNo,2,resRespondent,Nominale,Entrée,8,Gauche,A60,A60,
PhoneNo,3,ResPhone,Nominale,Entrée,12,Gauche,A120,A120,
LtCallDt,4,ResLastCallDate,Nominale,Entrée,8,Gauche,A60,A60,
VILLEF,5,Pouvez vous me dire où habitez vous (wilaya)?,Echelle,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
INT01,6,bonjour Monsieur/Madame       je suis $I   de la société IMMAR. Nous réalisons actuellement une étude sur la téléphonie mobile en Algérie.  Notre étude est menée dans le respect le plus strict des règles d'anonymat.  Il s'agit uniquement d'une é,Nominale,Entrée,8,Gauche,A12,A12,
Q1,7,Etes-vous l'utilisateur principal de cette ligne mobile $N ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
A1,8,Pouvez vous me dire où habitez vous (wilaya)?,Echelle,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q2,9,La PUCE sur laquelle je vous appelle est-elle personnelle (à votre nom ou pour les contacts PERSO) ou professionnelle (au nom d'une entreprise ou utliser dans le cadre d'une activité PRO) ?,Nominale,Entrée,12,Droite,F8.2,F8.2,",00, ,00"
Q3,10,Quel est le type de La PUCE sur laquelle je vous appelle actuellement ?   Dans le cas d'abonnement confirmez,Nominale,Entrée,11,Droite,F8.2,F8.2,",00, ,00"
Q3_AC1,11,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q3_AC2,12,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q3_AC3,13,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q3_AC4,14,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q3_AC5,15,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q3_AC6,16,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q3_AC7,17,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q3_AC8,18,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q3_AC9,19,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q3_AC10,20,Avez-vous acheté lors des 30 derniers jours un des produits suivants ? [Plusieurs réponses possibles]. CITER],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q4,21,Utilisez-vous internet Mobile pour vous connectez avec La PUCE sur laquelle je vous appelle actuellement ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q4_A,22,Sagit-il dune connexion ],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q5,23,Avez-vous utilisé une offre PURE Internet pour vous connectez avec La PUCE sur laquelle je vous appelle ces 30 derniers jours ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q6,24,Avez-vous utilisé une offre MIXTE (Voix + internet) avec La PUCE sur laquelle je vous appelle ces 30 derniers jours ?   Play 750 ? 750 DA = 850 DA (300 min + 200 sms) + 100 Mo / 30 Jrs Koulech Good ? 200 DA = 200 DA (120 Minutes + 50 sms Vers DJEZZY) + 50,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q7,25,Avez-vous de l'internet incluse dans La PUCE sur laquelle je vous appelle ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q8,26,Combien de Giga octes ''Go'' ou de Méga Octet ''Mo'' comporte votre offre professionelle ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q9,27,Quel est le nom de votre offre postpayées ? - CITER,Echelle,Entrée,18,Droite,F8.2,F8.2,",00, ,00"
Q10,28,Quel est l'offre Internet que vous activez le plus pour vous connectez avec La PUCE sur laquelle je vous appelle ?,Echelle,Entrée,22,Droite,F8.2,F8.2,",00, ,00"
Q10O,29,<aucune>,Nominale,Entrée,8,Gauche,A255,A255,
Q10_N,30,Combien de fois l'avez-vous fait ces 30 derniers jours ? - <q10>,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q11,31,Quel est l'offre mixte (Voix & DATA) que vous avez activez ces 30 derniers Jours ?,Nominale,Entrée,14,Droite,F8.2,F8.2,",00, ,00"
Q11_N,32,combien de fois l'avez-vous fait ? - <q11>,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q12,33,Quel a été le montant de vos dépenses Internet sur La PUCE sur laquelle je vous appelle ces 30 derniers Jours ?,Echelle,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q13,34,Puce appelée - Quel a été le montant de vos dépenses total (Voix + Internet) sur La PUCE sur laquelle je vous appelle ces 30 derniers ?,Echelle,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q14,35,Utilisez-vous une autre PUCE en plus de celle sur laquelle je vous appelle ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q15,36,Quel est lopérateur de l'autre PUCE que vous utilisez ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q16,37,L'autre PUCE que vous utilisez est-elle personnelle (à votre nom ou pour les contacts PERSO) ou (au nom d'une entreprise ou utliser dans le cadre d'une act - CITER,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q17,38,Quel est le type de L'autre PUCE que vous utilisez ?   Dans le cas d'abonnement confirmez - CITER,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q18,39,Utilisez-vous internet Mobile pour vous connectez sur l'autre Puce que vous utilisez ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q18_A,40,S'agit-il d'une connexion ],Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q19,41,Avez-vous utilisé une offre PURE Internet pour vous connectez avec L'autre PUCE que vous utilisez ces 30 derniers derniers jours ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q20,42,Avez-vous utilisé une offre MIXTE (Voix + internet) avec L'autre PUCE que vous utilisez ces 30 derniers jours ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q21,43,Avez-vous de l'internet incluse dans L'autre PUCE que vous utilisez ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q22,44,Combien de Giga octes ''Go'' ou de Méga Octet ''Mo'' comporte votre offre professionelle sur L'autre PUCE que vous utilisez ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q23_O,45,Quel est le nom de votre offre postpayées sur l'autre PUCE que vous utilisez ?,Echelle,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q23_D,46,Quel est le nom de votre offre postpayées sur l'autre PUCE que vous utilisez ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q23_M,47,Quel est le nom de votre offre postpayées sur l'autre PUCE que vous utilisez ?,Echelle,Entrée,19,Droite,F8.2,F8.2,",00, ,00"
Q24_O,48,Quel est l'offre Internet que vous activez le plus pour vous connectez avec L'autre PUCE que vous utilisez et de fois l'avez-vous fait ces 30 derniers jours ?,Echelle,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q24_OO,49,<aucune>,Nominale,Entrée,8,Gauche,A255,A255,
Q24_ON,50,Combien de fois l'avez-vous fait ces 30 derniers jours ? - <q24_o>,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
