Serial,NETWORK,Q1,Q2_ETUDESMKT,Q3,Q4_AGETRANCHE,Q5_USERPRIN,Q6,Q6_NBRSIMDJEZZY,Q6_NBRSIMOOREDOO,Q6_NBRSIMMOBILIS,Q7_PRINSIM,Q8_OFFRESIM,Q10_NPS,Q11_PROMOT,Q11_DETRACT&NEUTRAL,Q12_TESTDATA,Q12_TESTCALLCENTER,Q12_TESTSHOP,Q12_TESTRECLAM,Q12_TESTSITEWEB,Q13_SATGLOBAL,Q13_SATCOUV,Q13_SATCOUVDATA,Q13_SATPRIX&PROMO,Q13_SATPOSTPAID,Q13_SATPREPAID,Q13_SATCALLCENTER,Q13_SATSHOP,Q13_SATSITEWEB,Q13_SATRECLAM,Q13_SATPROD&SERV,Q13_SATPUB,Q14_SATCOUVALG,Q14_SATCOUVCITY,Q14_SATCOUVINDOOR,Q14_SATCOUV1STCALL,Q14_SATCOUVSONINT,Q14_SATCOUVSONNETALG,Q14_SATCOUVSONNETINTER,Q14_SATCOUVROUTE,Q15_SATCOUVDATAALG,Q15_SATCOUVDATAINDOOR,Q15_SATCOUVDATASPEEDALG,Q15_SATCOUVDATASPEEDINDOOR,Q15_SATCOUVDATACONINST,Q15_SATCOUVDATACONCONT,Q16_SATPRIX&PROMOCOMPFACILE,Q16_SATPRIX&PROMOPRONNET,Q16_SATPRIX&PROMOPROFFNET,Q16_SATPRIX&PROMOPRINTER,Q16_SATPRIX&PROMOPRROAMING,Q16_SATPRIX&PROMOPRSMS,Q16_SATPRIX&PROMOPRDATA,Q16_SATPRIX&PROMOPRPROMO,Q16_SATPRIX&PROMOAVANTPROM,Q16_SATPRIX&PROMOFREQPROMO,Q16_SATPRIX&PROMOSIMPLPROMO,Q17_SATPOSTPAIDRECEPTNOTE,Q17_SATPOSTPAIDBILLFACILE,Q17_SATPOSTPAIDBILLFORMAT,Q17_SATPOSTPAIDBILLDETAIL,Q17_SATPOSTPAIDBILLPRECISION,Q17_SATPOSTPAIDBILLMODES,Q18_SATBILLRECHARGEDISPO,Q18_SATBILLRECHARGEMULTIPLE,Q18_SATBILLPROCESSFACILE,Q18_SATBILLSOLDEPRECISION,Q19_SATCALLCENTERMENUVOCAL,Q19_SATCALLCENTERTEMPSATT,Q19_SATCALLCENTERTEMPSATTCALL,Q19_SATCALLCENTERQUALITESON,Q19_SATCALLCENTERAGAMABILITE,Q19_SATCALLCENTERAGCOMPR,Q19_SATCALLCENTERAGCONAISSPROD,Q19_SATCALLCENTERAGRESOLCAP,Q19_SATCALLCENTERPRCALL,Q20_SATSHOPPROXIMITE,Q20_SATSHOPHEURESOUV,Q20_SATSHOPDESIGN,Q20_SATSHOPDISPOPRODBROCH,Q20_SATSHOPTEMPSATTENTE,Q20_SATSHOPAGAPPARENCE,Q20_SATSHOPAGAMABILITE,Q20_SATSHOPAGCOMPREHENSION,Q20_SATSHOPAGRESOLUTION,Q20_SATSHOPAGRESOLUTIONTIME,Q21_SATSITEWEBACTUALISE,Q21_SATSITEWEBAPPARENCE,Q21_SATSITEWEBSURF,Q21_SATSITEWEBINFOUTILE,Q21_SATSITEWEBINFODETAILLE,Q22_SATRECLAMMODES,Q22_SATRECLAMSPEED,Q22_SATRECLAMRESOLUEXACT,Q22_SATRECLAMPROCESSFACILITE,Q23_SATPROD&SERVGAMMETARIF,Q23_SATPROD&SERVGAMMESERV,Q23_SATPROD&SERVMIGRATION,Q23_SATPROD&SERVVARIETEDISPOTE,Q23_SATPROD&SERVROAMING,Q24_SATPUBINFORMATIVE,Q24_SATPUBCAPTIVANTE,Q24_SATPUBCOMPREHENSION,Q24_SATPUBCONCERNE,Q24_SATPUBCREDIBLE,Q24_SATPUBFREQUENCE,Q24_SATPUBSPONSORING,Q9_ARPU,Q25_SEXE,Q26_JOBACTUEL,Q27_NIVETUDES,Q28_WILAYA,Q29_COMMUNE,Q29_1,Q30_WILAYAAPPEL
540134233,1,8,2,1 2,5,1,2,U,1,U,2,39,10,7,0,1,2,2,2,2,5,5,5,5,0,5,0,0,0,0,5,5,4,5,5,4,5,5,5,5,4,5,3,3,4,4,4,5,5,5,5,5,4,5,5,5,4,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,4,5,5,5,5,5,5,5,5,1000,2,2,5,16,496,1,0
540147445,1,8,2,1,7,1,1 2,1,1,U,2,39,6,0,3,2,2,2,2,1,3,4,0,3,0,3,0,0,3,0,6,3,6,3,2,3,3,3,3,3,0,0,0,0,0,0,6,3,2,3,6,3,6,6,6,6,3,0,0,0,0,0,0,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,3,3,6,6,3,3,6,6,3,6,2,3,55555,1,4,3,16,516,1,0
540166243,1,8,2,1,6,1,2,U,1,U,2,1,10,2 7,0,1,2,2,2,2,4,5,3,5,0,2,0,0,0,0,3,4,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,2,6,3,6,5,5,4,3,0,0,0,0,0,0,2,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,3,6,4,5,5,5,3,2,4,1000,2,7,3,9,276,1,0
540176068,1,8,2,1,7,1,2,U,1,U,2,1,8,0,5,2,2,2,2,2,4,5,0,4,0,3,0,0,0,0,3,4,3,4,3,4,4,3,5,5,0,0,0,0,0,0,4,4,3,4,3,4,2,3,3,4,2,0,0,0,0,0,0,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,3,3,4,4,3,4,3,2,1200,1,4,2,2,10,1,0
540190592,1,8,2,1,6,1,2,U,1,U,2,3,10,7,0,2,2,2,2,2,4,4,0,4,0,3,0,0,0,0,4,5,5,5,4,4,5,5,4,4,0,0,0,0,0,0,5,5,4,3,6,4,4,4,4,3,4,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,4,6,4,4,5,5,5,4,4,2000,2,7,4,16,491,1,0
540222249,1,8,2,3,2,1,2,U,2,U,2,39,7,0,1,2,2,2,2,2,3,5,0,3,0,5,0,0,0,0,5,2,4,3,5,3,5,5,6,4,0,0,0,0,0,0,3,1,1,1,1,2,1,3,3,2,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,5,4,2,5,3,2,3,2,400,1,6,4,6,149,1,0
540226057,1,8,2,1,2,1,2,U,1,U,2,1,10,5,0,1,2,2,2,2,3,3,4,2,0,2,0,0,0,0,4,3,5,2,3,5,3,5,4,3,5,5,2,3,4,3,4,1,4,2,1,1,3,2,4,4,4,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,2,3,3,4,2,3,3,5,5000,1,6,4,34,1469,1,0
540234473,1,8,2,1,6,1,1 2,1,1,U,1,5,10,997,0,2,2,2,2,2,5,5,0,5,0,5,0,0,0,0,5,3,5,5,5,5,3,3,6,1,0,0,0,0,0,0,1,5,5,1,1,3,5,5,5,5,4,0,0,0,0,0,0,5,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,4,3,5,3,5,5,5,5,5,200,2,7,2,35,903,1,0
540238628,1,8,2,1,6,1,2,U,1,U,2,39,10,5 7,0,2,2,2,2,2,5,4,0,5,0,4,0,0,0,0,4,3,5,4,4,5,5,5,6,1,0,0,0,0,0,0,2,3,4,6,6,4,3,2,3,2,2,0,0,0,0,0,0,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,6,4,3,4,2,2,3,3,200,2,7,3,5,110,1,0
540265933,1,8,2,1,2,1,2,U,1,U,2,39,7,0,2 8,1,2,2,2,2,4,4,2,2,0,4,0,0,0,0,4,4,2,3,2,4,4,4,6,4,2,2,3,2,2,2,2,4,4,6,6,4,2,3,4,3,3,0,0,0,0,0,0,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,6,4,4,4,4,4,4,3,1000,1,6,3,16,520,1,0
